id,NTT-6N,NTC4,NTC5,NTC6,NTT4,NTT5,NTT6,MTT1,MTT2,MTT3,NTTR1,NTTR2,NTTR3,circ_ligase
KSHV-K12-9,904,389,289,271,311,297,337,219,338,459,286,573,663,387.0
KSHV-K12-9-star,32,6,5,17,24,33,53,17,15,42,10,91,169,109.0
LET-7A,3805,2034,1380,1648,1516,1423,2043,2170,2852,3038,9265,14850,11221,1171.0
LET-7B,5975,4882,3480,4217,3945,4201,5380,7890,10500,9363,22456,24216,20502,1596.0
LET-7C,6821,4703,3076,3537,3312,3358,4326,6220,8196,7754,24467,28838,21286,2729.0
LET-7D,4327,3544,2300,2560,2237,2616,3195,4459,5355,5657,13487,18886,16223,3571.0
LET-7D-star,4943,4715,3310,3234,4794,4261,5393,6052,7618,10262,22980,24971,27802,6051.0
LET-7E,7591,5466,3717,4388,3700,3883,4799,6097,7690,7161,24172,32646,19489,3032.0
LET-7F,8018,4941,3078,3461,3324,3335,4292,5061,6156,5405,17517,30238,15176,2354.0
LET-7G,6223,4317,2555,3044,2636,3279,3737,4607,5576,5670,17336,25958,17285,5062.0
LET-7I,5193,3764,2460,3269,2463,3156,3740,5843,8015,8090,27720,22890,19522,2975.0
MGHV-M1-1,3757,2334,1494,1602,1824,1463,2385,3205,4199,5103,15992,14201,11561,5256.0
MGHV-M1-2,1921,2181,1265,1361,1923,1987,2206,2787,3350,3916,28932,4999,5106,6945.0
MGHV-M1-3,3732,2811,2581,2950,1578,1692,1929,2543,3376,4061,8501,14703,10810,5929.0
MGHV-M1-4,100681,20928,16135,13783,31722,29594,41190,17707,20243,28746,8412,60506,21933,6609.0
MGHV-M1-5,28372,5666,5040,5139,14787,15743,19209,12491,17138,19304,9596,27127,22843,2677.0
MGHV-M1-6,6213,5107,3587,4447,3114,3287,4162,6945,9013,8862,95964,33908,22389,3706.0
MGHV-M1-7-3P,5966,2442,1369,1577,1781,1800,2588,2746,3440,3718,19902,21323,11393,7630.0
MGHV-M1-7-5P,587,810,631,750,712,903,949,493,815,763,1173,2676,2555,1220.0
MGHV-M1-8,18859,4238,3594,3656,12929,12930,15594,9217,11433,12408,6473,11825,7492,6314.0
MGHV-M1-9,1482,3456,2163,1999,2513,2413,2698,3780,4288,4923,38256,7548,10601,1876.0
MIR-1,1294,581,241,394,284,373,519,800,838,1005,2062,3089,1396,864.0
MIR-1-rno,12767,2983,1894,2017,6133,6260,9116,5323,5892,7217,1373,35067,1765,2313.0
MIR-1-star,9958,2535,2315,2772,13158,13650,15662,9520,13559,15835,517,11656,1189,26950.0
MIR-100,11590,4904,4121,4099,7059,6465,7555,4095,5556,6395,425,1865,924,44496.0
MIR-101,1333,1414,1047,1189,1452,1643,1830,872,1178,1068,3046,1336,9061,1638.0
MIR-101B,976,997,887,969,1241,1325,1354,657,951,894,1288,632,4677,3021.0
MIR-103,25259,12371,9682,11056,9595,10538,15022,7789,10435,12079,3570,13595,5621,27006.0
MIR-105-hsa,501,513,472,529,772,806,789,659,1139,1777,2729,2824,9571,5987.0
MIR-105-mmu,924,1285,1289,1584,1232,1418,1297,1574,2296,2185,255,4758,513,11030.0
MIR-105-rno,1114,2011,1645,1956,1701,1765,2095,2672,3225,3765,1255,6271,1479,6279.0
MIR-106A-hsa,1591,1247,919,1231,1088,1097,1401,957,1269,1355,213,513,334,5806.0
MIR-106A-mmu,3851,5108,4491,5473,3785,3982,4606,2842,4061,4632,1787,1179,6702,2028.0
MIR-106B,56,64,67,74,41,39,59,41,135,113,3992,252,7053,5351.0
MIR-107,17808,10439,8058,9369,8354,8446,11723,6533,8459,10387,4329,9141,6452,15403.0
MIR-10A,31265,29229,25041,24565,39432,37733,37411,20984,26795,27630,9909,8110,17487,10875.0
MIR-10B,26038,25380,21940,20945,31067,30155,32063,17317,23314,25510,129,6721,428,17919.0
MIR-122,147444,55979,42576,44220,55474,55722,74782,49305,59063,62693,5437,37693,16686,1729.0
MIR-124,448,163,94,146,582,591,546,314,565,775,2971,556,7665,5387.0
MIR-125A-5P,37401,33443,27350,24887,39948,40184,47004,22542,29011,32395,1629,24811,4915,11918.0
MIR-125B,16814,14472,10539,9709,17732,18350,22138,10734,13799,15708,2530,10924,3674,8134.0
MIR-126-3P,85973,24169,20138,17971,32076,32660,45479,22595,27873,37649,2244,16474,4087,6216.0
MIR-126-5P,7921,9794,7963,8493,14573,14905,14415,8710,11661,12595,10114,2316,2398,28304.0
MIR-127,8585,1246,1254,1356,1846,1883,2316,1644,2174,2385,419,4838,502,3335.0
MIR-128,458,661,445,477,447,387,516,651,1123,1099,4839,2008,11185,4684.0
MIR-129-3P,323,225,92,206,130,203,304,234,455,518,589,679,692,19144.0
MIR-129-5P,7242,2315,1717,1951,7236,8288,8682,5978,7855,9272,517,7023,569,7478.0
MIR-130A,132,150,89,97,165,144,211,218,265,363,837,655,1862,17294.0
MIR-130B,133,179,109,119,50,134,188,154,398,381,1875,519,1974,5107.0
MIR-132,4639,4586,3799,4672,6593,6418,7474,3933,6125,6416,871,1451,1024,11806.0
MIR-133A,8873,3207,2531,2867,9879,9890,10527,6358,8883,10100,605,2163,1165,6529.0
MIR-133A-star,276,138,147,123,135,130,200,317,428,638,3975,1655,17463,31746.0
MIR-133B,1616,4834,3989,4187,2001,2116,1968,1192,1684,1905,3391,991,12320,5146.0
MIR-134,80197,23225,20216,23244,23857,24172,31930,22845,31644,38155,2531,21260,8152,11530.0
MIR-135A,13364,21321,15966,17191,23850,24423,24408,14106,18254,19233,1852,8417,7081,9446.0
MIR-135B,8519,10935,9083,9344,12427,12846,13130,8019,10534,11251,932,5781,2103,5891.0
MIR-136,9571,5942,5221,6285,10785,11705,10714,7338,10589,10715,2421,4944,5006,3424.0
MIR-136-2,4707,5500,4830,5892,6953,6985,6356,4602,6699,7020,2069,1377,8618,1222.0
MIR-137,9243,11464,8714,10124,12253,13651,13242,8523,10693,11662,3202,3401,11706,1784.0
MIR-138,37869,26506,22257,24646,25582,27213,32993,21666,28359,31213,199,10510,2252,15826.0
MIR-139-5P,41633,18182,15978,15293,23896,24372,31515,19322,25952,35044,905,12825,2079,4985.0
MIR-140-3P,1533,1636,1558,1793,1269,1702,1777,920,1446,1673,252,1148,918,20591.0
MIR-140-5P,5976,2854,2494,2513,3021,3169,3389,2302,3053,4493,18645,1617,37604,4670.0
MIR-141,1843,1815,1749,2114,1779,1992,2093,1413,1866,2303,275,557,267,3596.0
MIR-142-3P,75340,45035,39607,42384,54979,56595,59705,36561,48131,52993,5624,53129,11539,517.0
MIR-142-5P,55,48,59,49,36,68,107,74,126,162,333,167,874,832.0
MIR-143,4721,1889,1247,1769,1697,1758,2395,2858,3555,4244,5518,19405,9435,7378.0
MIR-144,131,144,107,131,159,138,243,258,390,378,14175,609,16213,4029.0
MIR-145,1678,1922,1505,1895,1920,2175,2499,1449,2334,2481,5594,9318,25441,10653.0
MIR-146A,4874,1777,1445,1633,1436,1488,2060,2775,3868,4061,839,20459,2141,6679.0
MIR-146B-5P,10388,3804,2653,2797,4173,3994,6052,4424,5791,7338,265,44252,810,12660.0
MIR-147A,2452,2602,2151,2515,1913,1996,2351,1510,2396,2249,3369,2290,5275,14751.0
MIR-147B,1184,1208,975,1332,664,577,935,491,803,932,2623,943,3905,6637.0
MIR-148A,1261,1351,856,1023,1734,1832,1630,1500,1818,2408,8133,5153,37040,1354.0
MIR-148B,962,934,779,706,1218,1292,1584,1373,1807,2288,2930,4414,3874,1776.0
MIR-149,60528,10860,10497,9565,63600,62912,72103,41223,54636,67009,2636,45242,5953,18107.0
MIR-150,22851,13489,13069,10182,21410,21465,26902,13873,18371,25288,4030,7257,9692,11373.0
MIR-151-3P,25932,9938,7852,8937,16053,16727,20106,12241,18022,20401,724,8146,8715,2021.0
MIR-151-3P-hsa,30808,15040,13784,14652,22347,24263,28402,16986,25600,31234,1596,10499,3858,3288.0
MIR-151-5P,3133,221,158,197,268,362,453,493,744,1854,747,11761,1701,13072.0
MIR-152,11797,8029,6821,7126,13403,12874,15993,8894,12544,15338,4574,4088,12659,1519.0
MIR-153,4418,540,377,514,1676,1952,2322,1342,1999,2407,1527,3770,345,2728.0
MIR-154,77640,28532,26967,25945,54348,51189,57892,34698,44144,51018,421,20498,2051,4819.0
MIR-154-star,55,92,66,57,46,56,55,154,178,159,1048,353,5521,3636.0
MIR-155,162,304,183,298,453,426,470,437,643,722,1477,1092,4273,1686.0
MIR-155-hsa,498,724,698,751,965,1241,1088,1118,1516,1584,1156,2893,9880,4193.0
MIR-15A,23843,10082,8300,7847,12722,14279,19202,10786,14662,18173,800,6189,5514,1506.0
MIR-15B,37047,16195,12153,10766,18313,18448,27890,11620,15253,20064,1367,18509,1756,2804.0
MIR-16,56045,23206,18608,15255,33423,32608,52233,24752,29608,42526,962,11941,1076,1654.0
MIR-17,4459,5130,4555,5408,4181,3824,4720,3074,4119,4722,608,1306,762,3815.0
MIR-17-star,272,153,121,166,171,198,183,337,265,330,496,855,1275,40337.0
MIR-17-star-mmu,1311,1168,1007,1060,952,1049,1202,633,1271,948,991,637,4372,49050.0
MIR-181A,229,183,162,283,195,254,200,284,412,547,381,816,1130,54538.0
MIR-181A-star,7262,1354,884,1068,5348,5247,6175,3302,5251,6280,216,4199,507,21437.0
MIR-181B,170,232,199,183,175,246,278,231,279,418,824,671,2029,17140.0
MIR-181C,93,69,128,66,37,66,88,136,132,202,2298,294,20430,30272.0
MIR-181D,295,324,279,428,444,547,624,478,806,682,3653,955,17324,3397.0
MIR-182,66694,24211,20435,19573,26554,27314,40752,21413,29001,40785,1651,17375,2789,10390.0
MIR-182-hsa,15729,5829,4550,4673,9658,9661,13062,8310,10887,13762,2134,17124,14833,2620.0
MIR-182-star,8667,3130,2294,2187,2907,3155,4524,2278,3072,3720,2776,5580,13885,7156.0
MIR-183,3822,4146,3340,3019,5654,5457,6016,4855,6602,7475,3240,15301,12405,9105.0
MIR-184,7914,2718,2103,2062,2425,2878,4564,3577,4850,5150,1338,30128,719,14864.0
MIR-185,42442,13313,10678,12234,10619,12130,17008,9896,13514,17885,8726,25613,32654,26636.0
MIR-186,82,107,71,105,134,120,138,117,170,189,1056,343,1314,6511.0
MIR-187,220623,57013,53197,55930,98002,103142,121070,74929,100366,119073,1469,54463,913,11453.0
MIR-188-3P,2184,2175,1535,1594,2282,2045,2459,1297,2116,1926,1246,1357,1907,6585.0
MIR-188-5P,2753,4066,3742,3703,6602,6748,6539,3747,5254,4679,3920,1017,4041,12768.0
MIR-18A,6772,6475,5739,6604,5525,5899,6789,4023,5409,5896,1201,1921,2079,28191.0
MIR-18A-star,1165,1082,911,808,1185,1085,1118,1175,1735,1878,791,3752,1416,9100.0
MIR-18B,6318,8455,7591,8563,8626,8384,8409,5533,7442,7028,4173,2014,3260,8085.0
MIR-18B-hsa,4963,4903,4372,5442,5284,5320,5550,3510,4765,4498,21651,1311,11628,7160.0
MIR-190,894,618,357,506,433,509,700,649,805,938,17963,4694,9284,883.0
MIR-190B,3015,1911,1413,1578,2023,1886,2374,3870,4542,5192,922,16639,1156,4347.0
MIR-190B-rno,2621,1736,1035,1236,1477,1315,1859,3010,3517,3702,7235,13846,33053,1520.0
MIR-191,5030,4318,3539,3817,4535,5216,6013,3210,4465,5046,1254,1378,5860,9172.0
MIR-191-star,31718,8254,8117,8712,31919,33887,37587,23676,33907,35749,39,30180,152,28630.0
MIR-192,6716,1419,1052,1097,5436,5898,7247,4197,6287,8167,191,4825,199,25396.0
MIR-193A-3P,27,5,6,10,8,9,17,1,12,13,162,71,795,484.0
MIR-193B,26,51,57,70,33,33,36,40,57,69,1681,77,8160,18053.0
MIR-193B-mmu,205,166,119,161,200,180,293,184,248,355,971,661,12254,38228.0
MIR-194,17249,6637,5990,6213,6149,7277,9704,5378,7539,10298,7342,12125,49891,5675.0
MIR-195,35499,4388,3332,2549,18548,19873,30909,13881,17380,26758,16434,24623,71559,1276.0
MIR-196A,237975,145768,113426,105606,231548,238108,315511,158855,190992,192163,10878,66385,74728,5955.0
MIR-196B,420544,242844,201938,180613,399614,403550,512870,292823,344122,387127,494,110232,3539,9660.0
MIR-196C,320614,185418,149219,142443,311185,327690,433847,224084,274696,277271,6376,91441,7181,7283.0
MIR-197,3349,632,720,607,3029,2971,3815,2015,3311,4872,593,2398,1101,6878.0
MIR-198,19357,3394,2866,3143,6818,7673,10642,5988,8062,8715,10166,14829,14217,9018.0
MIR-199A-3P,1549,1316,884,967,1114,964,1254,562,864,945,7613,1029,9110,7395.0
MIR-199A-5P,20990,5713,5244,4707,12219,11915,13843,10528,13471,17572,9838,12754,14117,6127.0
MIR-199B-5P,13436,3592,2950,3070,11380,11489,12710,7593,10264,10731,7506,8663,7610,10367.0
MIR-199B-5P-hsa,20422,6779,5345,5318,18220,18501,20600,12461,15940,17450,4744,12890,5723,14538.0
MIR-19A,29296,11798,9578,9577,9972,9461,12261,6212,8100,9434,8315,15491,17883,13778.0
MIR-19B,21405,7909,6606,7497,6227,6523,9075,4805,5963,7555,3277,10965,11566,13997.0
MIR-200A,175,204,84,120,150,179,268,188,153,229,518,932,1153,9708.0
MIR-200A-star,4590,4175,3540,4382,4083,4379,4759,2835,4527,5189,3068,4111,7111,28064.0
MIR-200B,2501,2442,1699,2193,2729,2759,3128,1474,2055,2560,562,1487,1674,9498.0
MIR-200C,3199,3123,2323,3209,3376,4011,4235,1955,2847,3762,370,1826,2334,7361.0
MIR-201,275,632,492,448,439,593,577,559,871,894,7383,1555,2294,207.0
MIR-201-rno,279,707,606,545,459,575,505,750,776,928,23957,1608,2399,544.0
MIR-202-3P,4006,2299,1742,1920,2097,2001,3421,1719,2591,2675,597,2788,2189,9577.0
