index,seq_id,prep,samplename,seq_count
12603,MIR-465A-5P,MTT (Corrected),MTT1 (Corrected),10.917741313637164
12604,MIR-465A-5P,MTT (Corrected),MTT2 (Corrected),17.741329634660392
12605,MIR-465A-5P,MTT (Corrected),MTT3 (Corrected),19.402725051953002
12606,MIR-465A-5P,NTTR (Corrected),NTTR1 (Corrected),7.1478554191231325
12607,MIR-465A-5P,NTTR (Corrected),NTTR2 (Corrected),14.910580121611694
12608,MIR-465A-5P,NTTR (Corrected),NTTR3 (Corrected),60.718341732336306
12609,MIR-465A-5P,circ_ligase (Corrected),circ_ligase (Corrected),28.16603491363335
12610,EBV-1-2-star,NTC (Corrected),NTC4 (Corrected),94.28709248049189
12611,EBV-1-2-star,NTC (Corrected),NTC5 (Corrected),86.97171461562613
12612,EBV-1-2-star,NTC (Corrected),NTC6 (Corrected),79.65633675076037
12613,EBV-1-2-star,NTT (Corrected),NTT4 (Corrected),200.23701938483214
12614,EBV-1-2-star,NTT (Corrected),NTT5 (Corrected),195.00517327263938
12615,EBV-1-2-star,NTT (Corrected),NTT6 (Corrected),201.90169769325715
12616,EBV-1-2-star,MTT (Corrected),MTT1 (Corrected),142.97724165870946
12617,EBV-1-2-star,MTT (Corrected),MTT2 (Corrected),187.41611406614612
12618,EBV-1-2-star,MTT (Corrected),MTT3 (Corrected),269.66943069605975
12619,EBV-1-2-star,NTTR (Corrected),NTTR1 (Corrected),237.0437543385686
12620,EBV-1-2-star,NTTR (Corrected),NTTR2 (Corrected),248.48478018899735
12621,EBV-1-2-star,NTTR (Corrected),NTTR3 (Corrected),599.223728916201
12622,EBV-1-2-star,circ_ligase (Corrected),circ_ligase (Corrected),359.47365022861123
12623,EBV-1-3,NTC (Corrected),NTC4 (Corrected),460.3609342955166
12624,EBV-1-3,NTC (Corrected),NTC5 (Corrected),455.1016700042499
12625,EBV-1-3,NTC (Corrected),NTC6 (Corrected),506.6424600586602
12626,EBV-1-3,NTT (Corrected),NTT4 (Corrected),243.11967625980253
12627,EBV-1-3,NTT (Corrected),NTT5 (Corrected),260.5586403797039
12628,EBV-1-3,NTT (Corrected),NTT6 (Corrected),310.20839705048206
12629,EBV-1-3,MTT (Corrected),MTT1 (Corrected),163.8306184710837
12630,EBV-1-3,MTT (Corrected),MTT2 (Corrected),274.3210355794889
12631,EBV-1-3,MTT (Corrected),MTT3 (Corrected),285.2748269307535
12632,EBV-1-3,NTTR (Corrected),NTTR1 (Corrected),3006.1515673552335
12633,EBV-1-3,NTTR (Corrected),NTTR2 (Corrected),178.9008730829095
12634,EBV-1-3,NTTR (Corrected),NTTR3 (Corrected),3049.0260869388994
12635,EBV-1-3,circ_ligase (Corrected),circ_ligase (Corrected),1306.4370770807595
12636,EBV-1-3P,NTC (Corrected),NTC4 (Corrected),234.43658097262016
12637,EBV-1-3P,NTC (Corrected),NTC5 (Corrected),175.59243514709502
12638,EBV-1-3P,NTC (Corrected),NTC6 (Corrected),160.1763969436027
12639,EBV-1-3P,NTT (Corrected),NTT4 (Corrected),129.59022314483457
12640,EBV-1-3P,NTT (Corrected),NTT5 (Corrected),111.7688172454601
12641,EBV-1-3P,NTT (Corrected),NTT6 (Corrected),164.24295683806298
12642,EBV-1-3P,MTT (Corrected),MTT1 (Corrected),257.66354832525747
12643,EBV-1-3P,MTT (Corrected),MTT2 (Corrected),302.22478636565114
12644,EBV-1-3P,MTT (Corrected),MTT3 (Corrected),391.09189718546224
12645,EBV-1-3P,NTTR (Corrected),NTTR1 (Corrected),6534.895820781379
12646,EBV-1-3P,NTTR (Corrected),NTTR2 (Corrected),1192.793800857343
12647,EBV-1-3P,NTTR (Corrected),NTTR3 (Corrected),3056.0792917695476
12648,EBV-1-3P,circ_ligase (Corrected),circ_ligase (Corrected),244.77018092618232
12649,EBV-1-5P,NTC (Corrected),NTC4 (Corrected),1154.0001035720782
12650,EBV-1-5P,NTC (Corrected),NTC5 (Corrected),1010.4437604973643
12651,EBV-1-5P,NTC (Corrected),NTC6 (Corrected),1122.8122214760015
12652,EBV-1-5P,NTT (Corrected),NTT4 (Corrected),768.7104360003309
12653,EBV-1-5P,NTT (Corrected),NTT5 (Corrected),827.7558374042037
12654,EBV-1-5P,NTT (Corrected),NTT6 (Corrected),983.6362643092893
12655,EBV-1-5P,MTT (Corrected),MTT1 (Corrected),713.3772246988809
12656,EBV-1-5P,MTT (Corrected),MTT2 (Corrected),957.9778086987588
12657,EBV-1-5P,MTT (Corrected),MTT3 (Corrected),1124.7808580083258
12658,EBV-1-5P,NTTR (Corrected),NTTR1 (Corrected),51.65489472183517
12659,EBV-1-5P,NTTR (Corrected),NTTR2 (Corrected),351.1381638313441
12660,EBV-1-5P,NTTR (Corrected),NTTR3 (Corrected),156.17984264637417
12661,EBV-1-5P,circ_ligase (Corrected),circ_ligase (Corrected),93.29948051089796
12662,MIR-150,NTC (Corrected),NTC4 (Corrected),326.8790532975741
12663,MIR-150,NTC (Corrected),NTC5 (Corrected),316.7011896764765
12664,MIR-150,NTC (Corrected),NTC6 (Corrected),246.740493785744
12665,MIR-150,NTT (Corrected),NTT4 (Corrected),303.5931902154002
12666,MIR-150,NTT (Corrected),NTT5 (Corrected),304.3730886489293
12667,MIR-150,NTT (Corrected),NTT6 (Corrected),381.46959379610945
12668,MIR-150,MTT (Corrected),MTT1 (Corrected),228.32350301643956
12669,MIR-150,MTT (Corrected),MTT2 (Corrected),302.35212815649186
12670,MIR-150,MTT (Corrected),MTT3 (Corrected),416.19294631872845
12671,MIR-150,NTTR (Corrected),NTTR1 (Corrected),85.91383645439359
12672,MIR-150,NTTR (Corrected),NTTR2 (Corrected),154.70886132742797
12673,MIR-150,NTTR (Corrected),NTTR3 (Corrected),206.61957888734062
12674,MIR-150,circ_ligase (Corrected),circ_ligase (Corrected),569.5625291736135
12675,EBV-10,NTC (Corrected),NTC4 (Corrected),287.4017409165305
12676,EBV-10,NTC (Corrected),NTC5 (Corrected),309.09243834419317
12677,EBV-10,NTC (Corrected),NTC6 (Corrected),387.72121651947026
12678,EBV-10,NTT (Corrected),NTT4 (Corrected),131.6829791618368
12679,EBV-10,NTT (Corrected),NTT5 (Corrected),202.28409449559265
12680,EBV-10,NTT (Corrected),NTT6 (Corrected),183.2455914842427
12681,EBV-10,MTT (Corrected),MTT1 (Corrected),313.9646903255297
12682,EBV-10,MTT (Corrected),MTT2 (Corrected),396.8292713498632
12683,EBV-10,MTT (Corrected),MTT3 (Corrected),454.8344780668963
12684,EBV-10,NTTR (Corrected),NTTR1 (Corrected),234.9473167864778
12685,EBV-10,NTTR (Corrected),NTTR2 (Corrected),1359.5936098303782
12686,EBV-10,NTTR (Corrected),NTTR3 (Corrected),1100.7937735731928
12687,EBV-10,circ_ligase (Corrected),circ_ligase (Corrected),83208.75362292859
12688,EBV-11-3P,NTC (Corrected),NTC4 (Corrected),75.68478120170802
12689,EBV-11-3P,NTC (Corrected),NTC5 (Corrected),66.41725697292743
12690,EBV-11-3P,NTC (Corrected),NTC6 (Corrected),70.08565198015309
12691,EBV-11-3P,NTT (Corrected),NTT4 (Corrected),235.1053947859316
12692,EBV-11-3P,NTT (Corrected),NTT5 (Corrected),259.056545047641
12693,EBV-11-3P,NTT (Corrected),NTT6 (Corrected),353.95732910347135
12694,EBV-11-3P,MTT (Corrected),MTT1 (Corrected),229.736230222149
12695,EBV-11-3P,MTT (Corrected),MTT2 (Corrected),298.84067846819494
12696,EBV-11-3P,MTT (Corrected),MTT3 (Corrected),390.23688421296555
12697,EBV-11-3P,NTTR (Corrected),NTTR1 (Corrected),213.84492729157398
12698,EBV-11-3P,NTTR (Corrected),NTTR2 (Corrected),296.56333840435934
12699,EBV-11-3P,NTTR (Corrected),NTTR3 (Corrected),508.5398826933862
12700,EBV-11-3P,circ_ligase (Corrected),circ_ligase (Corrected),3425.8820835226857
12701,EBV-11-5P,NTC (Corrected),NTC4 (Corrected),1209.0274128936578
12702,EBV-11-5P,NTC (Corrected),NTC5 (Corrected),983.6207984915628
12703,EBV-11-5P,NTC (Corrected),NTC6 (Corrected),985.7375848165651
12704,EBV-11-5P,NTT (Corrected),NTT4 (Corrected),682.5451949378901
12705,EBV-11-5P,NTT (Corrected),NTT5 (Corrected),673.0550279670955
12706,EBV-11-5P,NTT (Corrected),NTT6 (Corrected),746.6994522721283
12707,EBV-11-5P,MTT (Corrected),MTT1 (Corrected),590.1086228691074
12708,EBV-11-5P,MTT (Corrected),MTT2 (Corrected),742.2658225964282
12709,EBV-11-5P,MTT (Corrected),MTT3 (Corrected),776.7057389999021
12710,EBV-11-5P,NTTR (Corrected),NTTR1 (Corrected),6.29863836718977
12711,EBV-11-5P,NTTR (Corrected),NTTR2 (Corrected),307.64740616091257
12712,EBV-11-5P,NTTR (Corrected),NTTR3 (Corrected),16.97893820720721
12713,EBV-11-5P,circ_ligase (Corrected),circ_ligase (Corrected),554.9279458619368
12714,EBV-12,NTC (Corrected),NTC4 (Corrected),2103.2366987209
12715,EBV-12,NTC (Corrected),NTC5 (Corrected),1627.6581989224844
12716,EBV-12,NTC (Corrected),NTC6 (Corrected),1672.5125018750484
12717,EBV-12,NTT (Corrected),NTT4 (Corrected),1334.9783507687562
12718,EBV-12,NTT (Corrected),NTT5 (Corrected),1455.4248219531182
12719,EBV-12,NTT (Corrected),NTT6 (Corrected),1577.4892308101046
12720,EBV-12,MTT (Corrected),MTT1 (Corrected),2500.077475298002
12721,EBV-12,MTT (Corrected),MTT2 (Corrected),3113.099309918726
12722,EBV-12,MTT (Corrected),MTT3 (Corrected),2955.357816735179
12723,EBV-12,NTTR (Corrected),NTTR1 (Corrected),2867.862337245761
12724,EBV-12,NTTR (Corrected),NTTR2 (Corrected),4095.980936854159
12725,EBV-12,NTTR (Corrected),NTTR3 (Corrected),1373.2549746061356
12726,EBV-12,circ_ligase (Corrected),circ_ligase (Corrected),8147.129903616392
12727,EBV-13,NTC (Corrected),NTC4 (Corrected),198.88877822640367
12728,EBV-13,NTC (Corrected),NTC5 (Corrected),161.08299110680562
12729,EBV-13,NTC (Corrected),NTC6 (Corrected),160.5579107301445
12730,EBV-13,NTT (Corrected),NTT4 (Corrected),87.83974909637459
12731,EBV-13,NTT (Corrected),NTT5 (Corrected),97.74007060354465
12732,EBV-13,NTT (Corrected),NTT6 (Corrected),125.22199754586168
12733,EBV-13,MTT (Corrected),MTT1 (Corrected),82.37788998629398
12734,EBV-13,MTT (Corrected),MTT2 (Corrected),109.44094860131992
12735,EBV-13,MTT (Corrected),MTT3 (Corrected),119.78276162990217
12736,EBV-13,NTTR (Corrected),NTTR1 (Corrected),17.707330917294207
12737,EBV-13,NTTR (Corrected),NTTR2 (Corrected),233.37748893025156
12738,EBV-13,NTTR (Corrected),NTTR3 (Corrected),23.866402540700886
12739,EBV-13,circ_ligase (Corrected),circ_ligase (Corrected),1572.6055601646185
12740,MIR-19A,NTC (Corrected),NTC4 (Corrected),688.3220315386066
12741,MIR-19A,NTC (Corrected),NTC5 (Corrected),558.8022052955394
12742,MIR-19A,NTC (Corrected),NTC6 (Corrected),558.7438630314663
12743,MIR-19A,NTT (Corrected),NTT4 (Corrected),340.4345036879312
12744,MIR-19A,NTT (Corrected),NTT5 (Corrected),322.9894544115041
12745,MIR-19A,NTT (Corrected),NTT6 (Corrected),418.5787655152153
12746,MIR-19A,MTT (Corrected),MTT1 (Corrected),246.14307484120175
12747,MIR-19A,MTT (Corrected),MTT2 (Corrected),320.95281812841824
12748,MIR-19A,MTT (Corrected),MTT3 (Corrected),373.81097360783923
12749,MIR-19A,NTTR (Corrected),NTTR1 (Corrected),426.772337905221
12750,MIR-19A,NTTR (Corrected),NTTR2 (Corrected),795.0848209849405
12751,MIR-19A,NTTR (Corrected),NTTR3 (Corrected),917.8556486781806
12752,MIR-19A,circ_ligase (Corrected),circ_ligase (Corrected),1661.2251328642283
12753,MIR-19B,NTC (Corrected),NTC4 (Corrected),461.4289665569452
12754,MIR-19B,NTC (Corrected),NTC5 (Corrected),385.40899646923526
12755,MIR-19B,NTC (Corrected),NTC6 (Corrected),437.3919537586824
12756,MIR-19B,NTT (Corrected),NTT4 (Corrected),212.58380008671764
12757,MIR-19B,NTT (Corrected),NTT5 (Corrected),222.68895583196718
